year      msl_ib(mm) #version_2015_rel2
1992.9323    2.517
1992.9595   -7.645
1992.9866   -2.267
1993.0138    0.855
1993.0409   -2.020
1993.0681   -0.398
1993.0952    4.102
1993.1223    6.787
1993.1495   10.315
1993.1766    5.919
1993.2038    7.193
1993.2309    7.789
1993.2581   -5.459
1993.2852    4.506
1993.3124    5.602
1993.3395    0.205
1993.3667   -3.310
1993.3938   -5.484
1993.4210   -2.518
1993.4481   -3.966
1993.4753   -6.770
1993.5024   -8.108
1993.5296  -14.697
1993.5567  -15.249
1993.5839  -19.434
1993.6110  -17.150
1993.6382  -19.870
1993.6653  -20.546
1993.6925  -16.346
1993.7196  -17.360
1993.7468  -14.226
1993.7739  -10.872
1993.8010  -14.024
1993.8282  -14.008
1993.8553   -9.115
1993.8825   -7.718
1993.9096   -6.169
1993.9368   -4.656
1993.9639    3.492
1993.9911   -0.251
1994.0182   -1.078
1994.0454    3.887
1994.0725   13.173
1994.0997    8.984
1994.1268    4.399
1994.1540    1.308
1994.1811   13.495
1994.2083   10.220
1994.2354   15.807
1994.2626   10.829
1994.2897   10.743
1994.3169    1.403
1994.3440    2.629
1994.3712    2.420
1994.3983   -1.690
1994.4255   -1.809
1994.4526   -3.438
1994.4798  -11.829
1994.5069  -13.075
1994.5340   -9.505
1994.5612   -8.981
1994.5883   -8.773
1994.6155  -18.400
1994.6426  -19.200
1994.6698  -22.143
1994.6969  -17.470
1994.7241  -17.129
1994.7512  -15.012
1994.7784  -16.181
1994.8055  -10.939
1994.8327  -10.363
1994.8598    4.403
1994.8870  -10.154
1994.9141  -12.189
1994.9413   -9.834
1994.9684   -2.703
1994.9956    7.809
1995.0227   13.406
1995.0499   11.835
1995.0770   17.897
1995.1042   10.742
1995.1313    4.341
1995.1585   11.276
1995.1856   24.336
1995.2128   21.872
1995.2399    8.241
1995.2670    6.452
1995.2942    1.431
1995.3213    1.531
1995.3485    4.119
1995.3756   -0.162
1995.4028   -1.114
1995.4299    1.749
1995.4571   -7.157
1995.4842   -6.750
1995.5114    7.931
1995.5385   -9.703
1995.5657  -13.271
1995.5928  -13.448
1995.6200  -18.362
1995.6471  -19.281
1995.6743  -11.715
1995.7014  -13.792
1995.7286  -11.216
1995.7557  -16.096
1995.7829  -18.685
1995.8100  -11.709
1995.8372   -7.319
1995.8643   -8.014
1995.8915  -10.144
1995.9458  -10.152
1995.9729    4.050
1996.0000    8.021
1996.0272    4.369
1996.0543    0.676
1996.0815    1.914
1996.1086    8.965
1996.1358   14.640
1996.1629   18.665
1996.1901   14.792
1996.2172   13.216
1996.2444   14.188
1996.2715   10.060
1996.2987    8.300
1996.3258    7.807
1996.3530    4.897
1996.3801    0.098
1996.4073   -0.094
1996.4344   -1.070
1996.4616   -1.051
1996.4887    6.226
1996.5159   -0.079
1996.5430   -9.219
1996.5702  -13.266
1996.5973   -8.008
1996.6245   -8.513
1996.6516  -10.305
1996.6788  -14.892
1996.7059  -16.504
1996.7330  -16.698
1996.7602  -13.090
1996.7873  -16.277
1996.8145   -7.566
1996.8416   -5.890
1996.8688   -9.022
1996.8959   -5.264
1996.9231   -0.403
1996.9502    7.443
1996.9774    5.352
1997.0045    5.169
1997.0317    3.083
1997.0588    5.189
1997.0860   12.049
1997.1131    2.174
1997.1403   13.187
1997.1674    9.064
1997.1946    8.237
1997.2217   13.616
1997.2489   14.814
1997.2760   20.021
1997.3032   17.929
1997.3303   10.111
1997.3575   10.813
1997.3846    0.556
1997.4118    4.637
1997.4389    9.693
1997.4660   12.133
1997.4932    8.853
1997.5203    3.416
1997.5475   -0.795
1997.5746   -1.209
1997.6018   -3.898
1997.6289   -1.608
1997.6561    2.447
1997.6832    1.208
1997.7104    2.145
1997.7375    6.095
1997.7647    6.195
1997.7918    4.793
1997.8190    6.671
1997.8461   10.016
1997.8733   13.478
1997.9004   14.756
1997.9276   19.435
1997.9547   16.530
1997.9819   21.664
1998.0090   17.642
1998.0362   18.718
1998.0633    9.945
1998.0905   27.836
1998.1176   25.288
1998.1448   24.298
1998.1719   18.501
1998.1990   23.332
1998.2262   26.717
1998.2533   25.417
1998.2805   27.904
1998.3076   18.879
1998.3348   18.115
1998.3619    8.946
1998.3891    2.725
1998.4162    3.610
1998.4434    4.920
1998.4705   -5.793
1998.4977   -5.163
1998.5248   -6.117
1998.5520  -10.043
1998.5791  -16.702
1998.6063  -12.093
1998.6334  -14.393
1998.6606  -12.098
1998.6877  -10.597
1998.7149  -11.156
1998.7420   -7.067
1998.7692   -8.051
1998.7963  -28.239
1998.8235   -9.477
1998.8506   -6.496
1998.8777    1.925
1998.9049   -1.569
1998.9320    9.042
1998.9592    9.913
1998.9863    4.941
1999.0135   13.669
1999.0406   21.230
1999.0678    2.566
1999.0949   13.182
1999.1221   20.970
1999.1492   16.705
1999.1764   22.345
1999.2035   20.341
1999.2307   18.491
1999.2578   16.774
1999.2850   16.201
1999.3121    9.613
1999.3393   12.865
1999.3664   15.231
1999.3936   10.876
1999.4207    9.597
1999.4479   -1.928
1999.4750    0.479
1999.5022    2.596
1999.5293    7.529
1999.5565    2.540
1999.5836    1.296
1999.6107   -6.060
1999.6379   -2.570
1999.6650  -12.848
1999.6922    0.112
1999.7193    2.800
1999.7465   -1.025
1999.7736    1.655
1999.8008    2.509
1999.8279    5.045
1999.8551    4.787
1999.8822    5.828
1999.9094    5.765
1999.9365    7.551
1999.9637   17.264
1999.9908   24.124
2000.0180   18.375
2000.0451   20.247
2000.0723   24.273
2000.0994   24.218
2000.1266   21.589
2000.1537   26.780
2000.1809   29.419
2000.2080   27.323
2000.2352   30.058
2000.2623    8.766
2000.2895   22.180
2000.3166   16.753
2000.3437   16.282
2000.3709   16.300
2000.3980   14.473
2000.4252    8.272
2000.4523    1.154
2000.4795    3.729
2000.5066    5.589
2000.5338    3.240
2000.5609   -1.861
2000.5881   -4.431
2000.6152    0.537
2000.6424   -0.890
2000.6695   -1.637
2000.6967   -2.144
2000.7238    4.045
2000.7510    5.511
2000.7781    9.161
2000.8053    9.175
2000.8324    3.772
2000.8596   10.708
2000.8867   11.342
2000.9139   11.797
2000.9410   14.999
2000.9682   15.890
2000.9953   20.462
2001.0225   19.694
2001.0496    9.399
2001.0767   26.607
2001.1039   27.718
2001.1310   25.099
2001.1582   31.460
2001.1853   34.418
2001.2125   30.493
2001.2396   34.567
2001.2668   33.145
2001.2939   34.308
2001.3211   30.182
2001.3482   21.251
2001.3754   18.921
2001.4025   18.338
2001.4297   18.524
2001.4568   17.508
2001.4840   18.056
2001.5111   16.512
2001.5383   16.415
2001.5654    5.943
2001.5926    7.721
2001.6197    7.738
2001.6469    7.659
2001.6740    8.346
2001.7012    6.328
2001.7283    7.397
2001.7555   16.798
2001.7826   10.792
2001.8097    8.698
2001.8369   14.050
2001.8640   17.758
2001.8912   20.314
2001.9183   22.864
2001.9455   18.393
2001.9726   26.257
2001.9998   30.408
2002.0269   28.283
2002.0541   30.166
2002.0812   38.490
2002.1084   38.583
2002.1355   36.029
2002.1627   38.791
