year      msl_ib(mm) #version_2015_rel2
1992.9323   13.717
1992.9595    1.328
1992.9866  -13.375
1993.0138  -24.723
1993.0409  -29.231
1993.0681  -32.538
1993.0952  -35.588
1993.1223  -26.579
1993.1495  -29.622
1993.1766  -34.527
1993.2038  -34.250
1993.2309  -28.518
1993.2581  -30.437
1993.2852  -21.371
1993.3124  -19.196
1993.3395  -23.758
1993.3667  -23.628
1993.3938  -17.808
1993.4210  -10.085
1993.4481   -2.120
1993.4753   -1.728
1993.5024   -4.942
1993.5296    5.074
1993.5567    0.386
1993.5839   22.555
1993.6110   22.201
1993.6382   29.060
1993.6653   23.325
1993.6925   16.635
1993.7196   21.488
1993.7468   32.827
1993.7739   34.992
1993.8010   30.541
1993.8282   18.240
1993.8553    8.044
1993.8825   10.529
1993.9096   10.772
1993.9368   10.732
1993.9639    1.704
1993.9911   -8.579
1994.0182  -14.764
1994.0454  -12.663
1994.0725  -19.485
1994.0997  -23.443
1994.1268  -31.320
1994.1540  -37.411
1994.1811  -35.844
1994.2083  -20.794
1994.2354  -29.478
1994.2626  -24.542
1994.2897  -29.375
1994.3169  -26.850
1994.3440  -25.800
1994.3712  -18.381
1994.3983  -17.143
1994.4255  -13.169
1994.4526  -12.817
1994.4798  -14.908
1994.5069   -2.614
1994.5340    5.727
1994.5612   11.448
1994.5883    8.972
1994.6155   10.802
1994.6426   13.665
1994.6698   20.258
1994.6969   34.426
1994.7241   35.109
1994.7512   24.421
1994.7784   25.116
1994.8055   18.954
1994.8327   14.186
1994.8598   19.882
1994.8870   16.490
1994.9141   -0.195
1994.9413   -0.438
1994.9684   -6.651
1994.9956  -12.734
1995.0227  -16.869
1995.0499  -16.734
1995.0770  -24.215
1995.1042  -32.395
1995.1313  -37.790
1995.1585  -30.054
1995.1856  -18.882
1995.2128  -29.813
1995.2399  -30.159
1995.2670  -31.591
1995.2942  -28.160
1995.3213  -16.628
1995.3485  -18.468
1995.3756  -15.211
1995.4028  -12.198
1995.4299  -17.616
1995.4571   -9.138
1995.4842   -4.681
1995.5114    5.051
1995.5385    8.199
1995.5657    9.457
1995.5928    3.640
1995.6200   12.035
1995.6471   21.737
1995.6743   26.130
1995.7014   34.952
1995.7286   32.891
1995.7557   26.196
1995.7829   26.565
1995.8100   18.206
1995.8372   20.199
1995.8643   22.797
1995.8915   20.865
1995.9458    3.133
1995.9729    3.723
1996.0000   -8.298
1996.0272  -15.226
1996.0543  -19.351
1996.0815  -27.781
1996.1086  -32.942
1996.1358  -26.880
1996.1629  -25.254
1996.1901  -31.981
1996.2172  -31.199
1996.2444  -37.867
1996.2715  -34.202
1996.2987  -20.903
1996.3258  -12.289
1996.3530  -12.586
1996.3801  -12.891
1996.4073  -13.617
1996.4344   -7.525
1996.4616  -10.684
1996.4887   -0.323
1996.5159    4.036
1996.5430   15.210
1996.5702   19.634
1996.5973   15.832
1996.6245   19.091
1996.6516   27.470
1996.6788   33.489
1996.7059   33.247
1996.7330   30.114
1996.7602   28.349
1996.7873   16.485
1996.8145   23.172
1996.8416   27.836
1996.8688   25.333
1996.8959    8.147
1996.9231    6.546
1996.9502    3.238
1996.9774    0.742
1997.0045   -6.439
1997.0317  -11.603
1997.0588  -27.445
1997.0860  -24.603
1997.1131  -32.545
1997.1403  -22.992
1997.1674  -21.150
1997.1946  -28.745
1997.2217  -35.628
1997.2489  -27.859
1997.2760  -24.750
1997.3032  -30.654
1997.3303  -21.445
1997.3575  -12.061
1997.3846   -8.699
1997.4118   -0.627
1997.4389   -9.468
1997.4660   -1.646
1997.4932    1.674
1997.5203    5.741
1997.5475   15.732
1997.5746   25.508
1997.6018   14.411
1997.6289   31.447
1997.6561   32.509
1997.6832   31.207
1997.7104   30.599
1997.7375   40.085
1997.7647   34.233
1997.7918   41.540
1997.8190   33.572
1997.8461   23.610
1997.8733   10.445
1997.9004   12.106
1997.9276   11.524
1997.9547    4.187
1997.9819   -7.182
1998.0090  -18.303
1998.0362  -12.483
1998.0633  -25.377
1998.0905  -15.267
1998.1176  -14.355
1998.1448  -20.614
1998.1719  -21.860
1998.1990  -21.656
1998.2262  -21.992
1998.2533   -7.781
1998.2805   -9.873
1998.3076  -10.204
1998.3348   -7.375
1998.3619   -0.573
1998.3891   -7.327
1998.4162   11.136
1998.4434   10.782
1998.4705   17.025
1998.4977   13.533
1998.5248   18.027
1998.5520   27.760
1998.5791   20.699
1998.6063   35.077
1998.6334   34.276
1998.6606   37.124
1998.6877   38.218
1998.7149   47.391
1998.7420   47.335
1998.7692   49.156
1998.7963   24.604
1998.8235   40.522
1998.8506   36.535
1998.8777   37.038
1998.9049   25.888
1998.9320   30.483
1998.9592   12.372
1998.9863    6.869
1999.0135   -3.830
1999.0406   -2.387
1999.0678  -21.709
1999.0949   -5.048
1999.1221  -17.530
1999.1492  -18.436
1999.1764  -19.660
1999.2035  -13.171
1999.2307   -2.522
1999.2578   -9.011
1999.2850  -14.767
1999.3121  -11.902
1999.3393   -7.692
1999.3664   -5.571
1999.3936   -2.210
1999.4207    5.471
1999.4479    7.888
1999.4750    1.762
1999.5022    7.356
1999.5293   16.097
1999.5565   28.177
1999.5836   25.409
1999.6107   26.729
1999.6379   34.688
1999.6650   13.190
1999.6922   37.555
1999.7193   43.364
1999.7465   46.020
1999.7736   45.024
1999.8008   34.355
1999.8279   34.834
1999.8551   42.485
1999.8822   36.612
1999.9094   28.903
1999.9365    7.769
1999.9637    7.359
1999.9908    3.449
2000.0180   10.176
2000.0451    6.061
2000.0723   -6.104
2000.0994  -21.263
2000.1266  -15.703
2000.1537   -9.047
2000.1809  -10.735
2000.2080   -9.286
2000.2352  -10.675
2000.2623  -38.377
2000.2895  -12.022
2000.3166   -1.942
2000.3437   -3.780
2000.3709   -0.688
2000.3980   -0.778
2000.4252    2.142
2000.4523    9.986
2000.4795   15.624
2000.5066   18.699
2000.5338   28.669
2000.5609   10.126
2000.5881   22.151
2000.6152   32.606
2000.6424   46.311
2000.6695   45.965
2000.6967   48.263
2000.7238   46.710
2000.7510   43.986
2000.7781   40.762
2000.8053   43.405
2000.8324   42.480
2000.8596   43.878
2000.8867   30.982
2000.9139   29.436
2000.9410   15.358
2000.9682   17.786
2000.9953   19.537
2001.0225    7.732
2001.0496   -1.064
2001.0767  -13.165
2001.1039   -6.459
2001.1310   -1.461
2001.1582   -1.053
2001.1853   -5.181
2001.2125  -15.876
2001.2396  -19.532
2001.2668  -15.373
2001.2939   -5.920
2001.3211   -1.236
2001.3482    3.623
2001.3754    1.900
2001.4025   -3.041
2001.4297    1.339
2001.4568   10.404
2001.4840   22.926
2001.5111   27.974
2001.5383   23.639
2001.5654   26.348
2001.5926   40.302
2001.6197   43.268
2001.6469   47.330
2001.6740   47.140
2001.7012   51.144
2001.7283   51.835
2001.7555   45.271
2001.7826   52.111
2001.8097   51.379
2001.8369   50.977
2001.8640   37.447
2001.8912   25.848
2001.9183   19.967
