year      msl_ib_ns(mm) #version_2015_rel2
1992.9595   -5.818
1992.9866   -7.525
1993.0138   -9.215
1993.0409  -11.796
1993.0681  -11.291
1993.0952   -9.569
1993.1223   -3.714
1993.1495   -2.471
1993.1766   -6.784
1993.2038   -5.772
1993.2309   -2.853
1993.2852   -1.943
1993.3124   -0.293
1993.3395   -5.296
1993.3667   -7.317
1993.3938   -6.346
1993.4210   -1.620
1993.4481    0.416
1993.4753   -1.503
1993.5024   -4.163
1993.5296   -4.853
1993.5839   -2.577
1993.6110   -2.444
1993.6382   -2.335
1993.6653   -6.265
1993.6925   -7.356
1993.7196   -6.358
1993.7468   -0.770
1993.7739    1.805
1993.8010   -1.886
1993.8553   -7.186
1993.8825   -4.588
1993.9096   -2.648
1993.9368   -0.795
1993.9639    1.461
1993.9911   -3.859
1994.0182   -5.904
1994.0454   -1.261
1994.0725    2.404
1994.0997   -1.173
1994.1268   -6.507
1994.1540  -10.638
1994.1811   -2.544
1994.2354    1.699
1994.2626    0.824
1994.2897   -1.043
1994.3169   -5.562
1994.3440   -4.376
1994.3712   -1.532
1994.3983   -3.553
1994.4255   -2.147
1994.4526   -3.283
1994.5069   -6.102
1994.5340   -1.283
1994.5612    0.386
1994.5883   -1.522
1994.6155   -7.664
1994.6426   -8.044
1994.6698   -8.182
1994.6969   -0.322
1994.7241   -0.764
1994.7512   -4.568
1994.7784   -5.281
1994.8055   -4.447
1994.8327   -5.614
1994.8870   -3.240
1994.9141  -10.229
1994.9413   -7.929
1994.9684   -5.132
1994.9956   -0.212
1995.0227    2.458
1995.0499    2.365
1995.0770    3.806
1995.1042   -3.379
1995.1313   -8.843
1995.1585   -1.374
1995.2128    5.367
1995.2399   -2.756
1995.2670   -4.330
1995.2942   -5.885
1995.3213   -1.166
1995.3756   -1.544
1995.4028   -0.936
1995.4299   -1.559
1995.4571   -3.805
1995.4842   -2.239
1995.5385   -0.312
1995.5657   -2.837
1995.5928   -6.275
1995.6200   -6.978
1995.6471   -4.627
1995.6743    0.555
1995.7014    1.799
1995.7286    2.079
1995.7557   -4.116
1995.7829   -5.580
1995.8372   -1.007
1995.8643    0.257
1995.8915   -0.928
1995.9458   -6.178
1995.9729    3.549
1996.0000    2.121
1996.0272   -1.907
1996.0543   -5.008
1996.0815   -6.979
1996.1086   -4.363
1996.1629    5.333
1996.1901    0.404
1996.2172   -0.115
1996.2444   -1.889
1996.2715   -2.813
1996.2987    1.439
1996.3258    4.639
1996.3530    2.876
1996.3801   -0.125
1996.4073   -0.630
1996.4344    1.051
1996.4887    7.510
1996.5159    4.802
1996.5430    2.974
1996.5702    1.430
1996.5973    1.920
1996.6245    1.791
1996.6516    2.903
1996.6788    1.620
1996.7059   -0.306
1996.7330   -1.936
1996.7602   -1.189
1996.8145    0.035
1996.8416    3.471
1996.8688    1.228
1996.8959   -2.764
1996.9231    0.452
1996.9502    4.804
1996.9774    3.602
1997.0045    1.636
1997.0317   -0.803
1997.0588   -5.010
1997.0860    0.989
1997.1403    3.083
1997.1674    1.468
1997.1946   -1.823
1997.2217   -1.142
1997.2489    2.696
1997.2760    7.350
1997.3032    3.831
1997.3303    2.789
1997.3575    6.987
1997.3846    2.104
1997.4118    7.687
1997.4660   11.306
1997.4932   10.143
1997.5203    7.763
1997.5475    8.381
1997.5746   11.114
1997.6289   11.136
1997.6561   12.880
1997.6832   10.474
1997.7104    9.965
1997.7375   15.483
1997.7918   14.829
1997.8190   12.947
1997.8461   11.460
1997.8733    8.891
1997.9004   11.173
1997.9276   14.685
1997.9547   11.068
1997.9819   10.593
1998.0090    4.736
1998.0362    8.719
1998.0905   14.428
1998.1176   13.615
1998.1448   10.997
1998.1719    7.134
1998.1990   10.277
1998.2262   12.140
1998.2533   17.386
1998.2805   18.053
1998.3076   12.608
1998.3348   13.387
1998.3619   10.641
1998.4162   12.022
1998.4434   12.486
1998.4705    8.230
1998.4977    6.613
1998.5248    7.175
1998.5520    7.832
1998.6063    7.429
1998.6334    4.628
1998.6606    6.161
1998.6877    6.572
1998.7149    9.135
1998.7420   10.886
1998.7692   10.819
1998.8235    6.725
1998.8506    7.464
1998.8777   13.388
1998.9049    7.522
1998.9320   16.727
1998.9592   10.897
1998.9863    6.738
1999.0135    8.833
1999.0406   14.662
1999.0949   10.119
1999.1221   10.080
1999.1492    7.655
1999.1764   10.832
1999.2035   12.249
1999.2307   15.567
1999.2578   12.034
1999.2850    9.455
1999.3393   10.557
1999.3664   12.817
1999.3936   11.509
1999.4207   13.632
1999.4479    7.451
1999.4750    6.045
1999.5022    8.994
1999.5293   14.714
1999.5565   15.808
1999.5836   12.903
1999.6107    7.913
1999.6379   12.055
1999.6922   12.766
1999.7193   16.138
1999.7465   14.211
1999.7736   15.214
1999.8008   11.388
1999.8279   13.432
1999.8551   16.967
1999.8822   15.993
1999.9094   13.563
1999.9637   13.728
1999.9908   17.333
2000.0180   17.533
2000.0451   17.858
2000.0723   16.159
2000.0994   10.783
2000.1266   11.807
2000.1537   17.805
2000.1809   18.971
2000.2080   18.474
2000.2352   19.584
2000.2895   14.591
2000.3166   15.361
2000.3437   14.467
2000.3709   15.690
2000.3980   14.432
2000.4252   11.765
2000.4523   10.384
2000.4795   13.753
2000.5066   15.515
2000.5338   17.424
2000.5881    8.096
2000.6152   14.304
2000.6424   17.959
2000.6695   16.323
2000.6967   15.974
2000.7238   18.147
2000.7510   17.564
2000.7781   18.291
2000.8053   19.382
2000.8596   21.424
2000.8867   17.268
2000.9139   17.882
2000.9410   15.043
2000.9682   17.602
2000.9953   22.057
2001.0225   17.812
2001.0767   15.095
2001.1039   19.007
2001.1310   19.868
2001.1582   24.128
2001.1853   24.451
2001.2125   18.088
2001.2396   19.188
2001.2668   20.069
2001.2939   24.568
2001.3211   24.107
2001.3482   20.584
2001.3754   18.573
2001.4025   16.302
2001.4297   17.931
2001.4568   20.625
2001.4840   25.515
2001.5111   25.982
2001.5383   23.402
2001.5654   17.347
2001.5926   22.949
2001.6197   23.084
2001.6469   23.577
2001.6740   22.807
2001.7012   22.099
2001.7283   22.520
2001.7555   25.106
2001.7826   24.209
2001.8097   22.653
2001.8369   26.002
2001.8640   23.384
2001.8912   20.948
2001.9183   21.027
2001.9455   21.930
2001.9726   24.021
2001.9998   24.842
2002.0269   18.262
2002.0541   19.437
2002.0812   26.850
2002.1084   29.728
2002.1355   28.163
2002.1627   23.377
2002.1898   17.886
2002.2170   20.958
2002.2441   23.229
2002.2713   29.337
2002.2984   25.849
2002.3256   25.445
2002.3527   20.442
2002.3799   23.053
2002.4070   25.892
2002.4342   26.055
2002.4613   22.980
2002.4885   26.399
2002.5156   25.625
2002.5427   26.132
2002.5699   29.753
2002.5970   33.154
2002.6242   33.147
2002.6513   26.555
2002.6785   22.951
2002.7056   25.199
2002.7328   31.040
2002.7599   29.237
2002.7871   30.754
2002.8142   31.080
2002.8414   23.692
2002.8685   25.621
2002.8957   33.671
2002.9228   30.318
2002.9500   28.853
2002.9771   26.970
2003.0043   24.113
2003.0314   23.798
2003.0586   32.515
2003.0857   34.928
2003.1129   34.526
2003.1400   23.710
2003.1672   26.165
2003.1943   28.678
2003.2214   31.908
2003.2486   32.651
2003.2757   28.081
2003.3029   26.508
2003.3300   26.310
2003.3572   26.516
2003.3843   30.633
2003.4115   31.851
2003.4386   25.296
2003.4658   25.593
2003.4929   24.105
2003.5201   26.122
2003.5472   31.738
2003.5744   31.294
2003.6015   29.385
2003.6287   23.233
2003.6558   25.224
2003.6830   31.667
2003.7101   31.825
2003.7373   30.326
2003.7644   30.362
2003.7916   26.229
2003.8187   27.206
2003.8459   27.779
2003.8730   30.516
2003.9273   30.318
2003.9544   26.939
2003.9816   25.179
2004.0087   30.448
2004.0359   36.011
2004.0630   35.822
2004.0902   31.936
2004.1173   20.438
2004.1445   31.004
2004.1716   31.054
2004.1988   34.182
2004.2259   33.227
2004.2531   31.335
2004.2802   28.537
2004.3074   34.477
2004.3345   28.914
2004.3617   30.894
2004.3888   28.389
2004.4160   27.405
2004.4431   26.178
2004.4703   29.340
2004.4974   36.104
2004.5246   36.805
2004.5517   33.349
2004.5789   29.085
