**********************************************************************************
****Monthly Annual Temperature Deviations.  (60S - 90N)                       ****
****1881-2005                                                                 ****
****                                                                          ****
****August 2006                                                               ****
****                                                                          ****
****Source: K.M. Lugina*, P.Ya. Groisman**, K.Ya, Vinnikov***,                ****
****        V.V. Koknaeva****, and N.A. Speranskaya****.                      ****
****                                                                          ****
****    *Department of Geography, St. Petersburg State University,            ****
****     St. Petersburg, Russia.                                              ****
****   **UCAR Project Scientist, National Climatic Data Center,               ****
****     Asheville, North Carolina.                                           ****
****  ***Department of Atmospheric Sciences, University of Maryland,          ****
****     College Park, Maryland.                                              ****
**** ****State Hydrological Institute, St. Petersburg, Russia.                ****
****                                                                          ****
**********************************************************************************

Monthly temperature deviation from the 25 year average of 1951-1975.
Missing values are replaced with -9.99.  In degrees Celsius.


----------------------------------------------------------------------------------------------------
year    jan     feb     mar    apr      may    jun    july    aug     sep     oct     nov    dec
----------------------------------------------------------------------------------------------------
1881   -.55    -.24    -.32   -.37    -.15    -.71   -.63    -.07    -.05     .03    -.44   -.19
1882   -.03    -.08     .05   -.41    -.24    -.78   -.43     .10    -.10    -.34    -.43   -.57
1883   -.46    -.38    -.04   -.42    -.49     .20   -.12    -.16    -.52    -.32    -.59   -.37
1884   -.52    -.42    -.53   -.79   -1.17    -.82   -.76     .39    -.52    -.71    -.96   -.35
1885   -.64    -.56    -.89   -.79    -.52    -.39   -.29    -.16    -.22    -.28    -.03    .01
1886   -.23    -.57    -.63   -.35    -.52    -.66   -.21    -.23    -.04    -.50    -.45   -.36
1887   -.60    -.70    -.57   -.72    -.74    -.44   -.35    -.16    -.36    -.56    -.61   -.48
1888   -.28    -.53    -.64   -.19    -.62    -.26    .03     .16    -.09    -.02     .03   -.04
1889   -.18     .33     .03    .20     .23    -.06   -.08    -.36    -.25    -.15    -.44   -.23
1890   -.71    -.55    -.53   -.45    -.61    -.26   -.36    -.43    -.08     .00    -.30   -.07
1891   -.57    -.81    -.30   -.55    -.36    -.35   -.40    -.26    -.28    -.36    -.47   -.19
1892   -.38    -.23    -.42   -.56    -.63    -.30   -.30    -.31    -.36    -.27    -.37   -.50
1893  -1.12    -.92    -.44   -.32    -.59    -.47   -.04    -.21    -.25    -.22    -.14   -.34
1894   -.57    -.42    -.35   -.55    -.53    -.57   -.28    -.25    -.38    -.12    -.16   -.20
1895   -.42    -.60    -.52   -.25    -.33    -.16   -.30    -.08    -.06    -.18    -.28    .05
1896   -.34    -.13    -.51   -.38    -.27    -.24    .12    -.08    -.06     .16    -.17    .08
1897   -.08    -.09     .06    .14     .00    -.11   -.07    -.11    -.15    -.12    -.10   -.06
1898   -.18    -.40    -.81   -.43    -.60    -.17   -.35    -.20    -.18    -.41    -.27   -.21
1899   -.37    -.46    -.29   -.22    -.26    -.51   -.09    -.09    -.03    -.29     .08    .01
1900   -.32     .13     .13    .07     .07     .11    .06     .00     .10     .24     .12    .01
1901   -.17    -.06    -.03    .02    -.15     .00   -.11    -.06     .03    -.11    -.28   -.04
1902   -.29     .17    -.13   -.08    -.03     .03   -.12    -.29    -.19    -.31    -.32   -.44
1903   -.31    -.06    -.06   -.36    -.40    -.46   -.23    -.34    -.20    -.49    -.38   -.41
1904   -.84    -.62    -.37   -.41    -.53    -.36   -.29    -.28    -.38    -.41    -.24   -.34
1905   -.54    -.74    -.14   -.13    -.19    -.17   -.21    -.23    -.14    -.18     .03   -.02
1906   -.29    -.33    -.23    .05    -.04    -.15   -.14    -.08    -.15     .01    -.25   -.08
1907   -.35    -.45    -.28   -.38    -.57    -.49   -.35    -.41    -.29    -.23    -.46   -.35
1908   -.48    -.30    -.41   -.40    -.20    -.24   -.19    -.34    -.17    -.34    -.57   -.33
1909   -.63    -.28    -.30   -.33    -.39    -.23   -.14    -.01    -.09    -.07     .04   -.32
1910   -.33    -.19    -.43   -.30    -.18    -.25   -.28    -.01    -.09    -.23    -.24   -.35
1911   -.50    -.50    -.42   -.32    -.30    -.31   -.23    -.26    -.29    -.13     .10   -.16
1912   -.02     .04    -.31   -.02    -.05     .14   -.40    -.37    -.39    -.41    -.18   -.15
1913   -.25    -.34    -.29   -.18    -.44    -.26   -.17    -.17    -.21    -.19    -.03    .15
1914    .06    -.05     .03   -.13    -.02     .05   -.09    -.11    -.05     .08    -.06    .05
1915   -.14     .01    -.06    .06     .02    -.06    .02     .07     .24     .08     .13   -.04
1916    .00     .02    -.20   -.13    -.13    -.31   -.22    -.16    -.03    -.07    -.23   -.59
1917   -.42    -.52    -.59   -.53    -.71    -.37   -.01    -.31    -.25    -.39    -.33   -.73
1918   -.62    -.41    -.45   -.45    -.55    -.40   -.40    -.25    -.12     .10    -.23   -.33
1919   -.37    -.17     .00   -.02    -.14    -.25   -.14    -.07    -.26    -.08    -.37   -.17
1920    .04    -.21     .02    .03    -.24    -.14    .07    -.08    -.07    -.17    -.08   -.38
1921   -.11    -.12    -.10   -.10    -.07     .00   -.02    -.21    -.09    -.09    -.10   -.08
1922   -.24    -.39    -.10    .08    -.27    -.21   -.03    -.12    -.13    -.18    -.09   -.01
1923   -.27    -.27    -.20   -.28    -.21    -.24   -.42    -.29    -.11    -.05     .11    .13
1924   -.16    -.34    -.05   -.25    -.19    -.13    .02    -.11    -.07    -.15     .05   -.22
1925   -.42    -.27    -.13   -.09    -.11    -.17   -.19     .10    -.05    -.06     .12    .32
1926    .36     .31     .35    .14    -.10     .15    .04     .17     .12     .15     .14   -.05
1927   -.01     .05    -.16   -.03     .07    -.08    .14     .01     .01     .21     .18   -.08
1928    .24     .18    -.05    .14    -.08    -.26    .08     .01     .05     .01     .21    .09
1929   -.14    -.25    -.20   -.18    -.28    -.22   -.16    -.18    -.13     .18     .07   -.41
1930   -.02    -.14     .08    .05     .10     .03    .13     .01    -.06    -.07     .27    .12
1931    .13    -.14     .12   -.01     .04     .19    .23     .24     .03     .21     .11    .26
1932    .32     .01    -.01    .30    -.01    -.11    .03    -.10     .07     .25     .09   -.05
1933   -.20    -.02    -.11   -.08    -.04    -.14   -.14    -.12    -.13    -.03    -.32   -.34
1934   -.12    -.05    -.26   -.14     .18     .07    .09     .11     .09     .13     .32    .28
1935   -.07     .33     .18   -.09    -.19    -.01   -.01    -.01    -.20     .11    -.22    .00
1936   -.15    -.24    -.13    .14    -.06     .08    .26     .09     .03     .10     .19    .17
1937    .00     .25    -.02    .06     .13     .17    .13     .20     .22     .28     .37    .13
1938    .04     .21     .20    .17     .11     .03    .09     .04     .14     .37     .20   -.07
1939    .00    -.12    -.25    .00     .07     .15    .02    -.06    -.06     .01     .01    .36
1940   -.08     .06     .03    .08     .18     .22    .29     .17     .21     .17     .12    .39
1941    .16     .39     .08    .16     .19     .20    .22     .20    -.11     .13     .04    .19
1942    .36     .11     .10    .17     .17     .14    .06     .06     .13     .15     .24    .20
1943   -.08     .07    -.07    .01     .04    -.12    .03    -.19    -.01     .29     .07    .23
1944    .34     .24     .16    .07     .00     .04    .05     .12     .24     .38     .23    .03
1945    .12     .05     .05    .27    -.13    -.05   -.06     .28     .11     .16     .13   -.15
1946    .04     .08     .09    .09     .08    -.02    .04     .00     .08     .01     .12   -.04
1947    .05     .10     .23    .27     .14     .16    .12     .11     .12     .32     .26   -.01
1948    .24     .03    -.02    .01     .21     .16    .03     .02     .11     .10     .02   -.13
1949    .05    -.12     .11   -.03     .00     .04    .05     .02     .04     .11     .00    .02
1950   -.16    -.07     .08   -.05    -.05    -.02   -.06    -.11    -.06    -.09    -.17   -.07
1951   -.28    -.33     .03    .09     .15     .03    .11     .20     .24     .20     .09    .28
1952    .21     .24    -.06    .07     .15     .02    .08     .11     .16     .10    -.10    .09
1953    .19     .16     .11    .33     .19     .22    .12     .12     .18     .15     .17    .21
1954   -.16    -.07    -.09    .01    -.07    -.04   -.15    -.03     .03     .08     .25    .02
1955    .25     .04    -.29   -.10    -.12    -.13   -.18    -.04    -.09    -.03    -.22   -.23
1956   -.12    -.23    -.21   -.19    -.27    -.13   -.18    -.26    -.23    -.16    -.14   -.15
1957   -.10     .03    -.08    .00     .08     .16    .06     .14     .11     .06     .13    .26
1958    .43     .28     .27    .12     .17     .09    .11     .08     .08     .18     .10    .13
1959    .25     .10     .29    .15     .00     .16    .13     .07     .14    -.02     .07    .10
1960    .18     .30    -.21   -.13    -.06     .13    .02     .11     .15     .06     .06    .25
1961    .21     .24     .15    .11     .09     .11    .03     .03     .02     .08     .10    .01
1962    .16     .15     .23    .14     .00    -.04    .00     .01     .02     .02     .14    .10
1963   -.01     .36    -.11   -.03    -.03    -.04    .07     .00     .02     .22     .14    .00
1964   -.14    -.18    -.22   -.25    -.22    -.29   -.22    -.28    -.25    -.34    -.32   -.35
1965   -.11    -.28    -.20   -.33    -.19    -.11   -.15    -.13    -.12    -.07    -.03   -.15
1966   -.13    -.04    -.04   -.12    -.05     .05    .06     .04    -.04    -.24    -.11   -.08
1967   -.24    -.27    -.02    .07     .18    -.11   -.05    -.05    -.05     .25     .00   -.02
1968   -.18    -.19     .12   -.19    -.17    -.19   -.08    -.02    -.11    -.08    -.21   -.13
1969   -.21    -.21     .00    .06     .16    -.01    .15     .06    -.02    -.01     .20    .28
1970    .08     .28     .06    .09    -.01     .19    .03    -.03    -.06    -.10     .04   -.19
1971   -.18    -.21    -.19   -.20    -.19    -.24   -.12    -.10    -.02    -.07    -.07   -.21
1972   -.42    -.37    -.10   -.06    -.06     .00    .07    -.05     .00     .01     .01    .18
1973    .28     .38     .39    .30     .29     .21    .12     .12     .03     .06     .07    .09
1974   -.03    -.17     .05   -.05    -.08    -.11    .02    -.03    -.16    -.18    -.17   -.18
1975    .00     .13     .16    .10     .06     .02    .01    -.08    -.03    -.19    -.19   -.21
1976    .01    -.18    -.35   -.15    -.14    -.17   -.07    -.13    -.12    -.31    -.17   -.10
1977    .00     .11     .22    .24     .21     .29    .15     .13     .15     .11     .37    .19
1978    .16     .17     .27    .12     .08    -.02    .18    -.03     .03    -.02     .14    .09
1979    .25     .03     .21    .04     .09     .29    .27     .17     .22     .19     .31    .50
1980    .30     .41     .33    .36     .47     .32    .22     .14     .15     .21     .10    .22
1981    .52     .50     .50    .52     .31     .26    .22     .30     .33     .23     .26    .53
1982    .13     .27     .11    .18     .15     .08    .14     .17     .15     .03     .05    .19
1983    .40     .40     .37    .28     .33     .32    .37     .40     .27     .25     .47    .31
1984    .13     .04     .18    .07     .25     .14    .06     .03     .03     .16     .05   -.21
1985    .10    -.04     .13    .06     .13     .12    .06     .09     .03    -.02     .08    .12
1986    .42     .26     .17    .35     .25     .23    .06     .18     .08     .07     .14    .26
1987    .31     .46     .24    .30     .30     .38    .56     .36     .46     .22     .38    .57
1988    .59     .48     .53    .44     .52     .40    .37     .36     .34     .32     .12    .35
1989    .12     .51     .33    .34     .28     .24    .32     .33     .28     .22     .24    .35
1990    .40     .45     .91    .64     .58     .55    .39     .42     .34     .58     .55    .44
1991    .50     .44     .45    .61     .57     .45    .48     .37     .43     .32     .27    .19
1992    .38     .28     .38    .19     .20     .24    .02     .03    -.03    -.00     .02    .23
1993    .33     .38     .35    .38     .42     .33    .34     .32     .16     .27     .11    .16
1994    .36     .14     .28    .44     .40     .46    .37     .41     .32     .47     .42    .39
1995    .69     .88     .43    .62     .26     .48    .44     .52     .55     .54     .54    .34
1996    .41     .59     .34    .24     .45     .28    .30     .29     .17     .25     .38    .35
1997    .47     .40     .56    .43     .28     .36    .46     .44     .51     .53     .49    .47
1998    .62     .90     .83    .89     .81     .80    .81     .69     .58     .59     .57    .66
1999    .60     .89     .44    .50     .48     .43    .51     .45     .59     .43     .47    .62
2000    .33     .70     .49    .59     .43     .42    .35     .43     .35     .40     .24    .33
2001    .56     .53     .64    .52     .46     .50    .48     .65     .55     .55     .71    .72
2002    .71     .81     .98    .63     .63     .57    .67     .54     .62     .59     .64    .55
2003    .78     .58     .59    .61     .80     .74    .56     .71     .73     .72     .61    .71
2004    .56     .83     .88    .70     .43     .66    .45     .58     .62     .68     .81    .57
2005    .83     .81     .89    .88     .75     .83    .94     .81     .87     .81     .91    .78
-------------------------------------------------------------------------------------------------        
