 year month     decimal     average       trend
  1980     1    1980.042      338.45      337.82
  1980     2    1980.125      339.17      338.12
  1980     3    1980.208      339.49      338.14
  1980     4    1980.292      339.87      338.25
  1980     5    1980.375      340.30      338.78
  1980     6    1980.458      339.86      339.08
  1980     7    1980.542      338.32      339.17
  1980     8    1980.625      337.11      339.37
  1980     9    1980.708      336.95      339.33
  1980    10    1980.792      337.71      339.06
  1980    11    1980.875      338.83      339.17
  1980    12    1980.958      339.55      339.32
  1981     1    1981.042      340.10      339.47
  1981     2    1981.125      340.66      339.61
  1981     3    1981.208      341.29      339.94
  1981     4    1981.292      341.57      339.96
  1981     5    1981.375      341.28      339.76
  1981     6    1981.458      340.48      339.70
  1981     7    1981.542      339.10      339.95
  1981     8    1981.625      337.98      340.24
  1981     9    1981.708      337.86      340.24
  1981    10    1981.792      338.95      340.30
  1981    11    1981.875      340.06      340.39
  1981    12    1981.958      340.64      340.42
  1982     1    1982.042      341.27      340.66
  1982     2    1982.125      341.86      340.80
  1982     3    1982.208      342.13      340.75
  1982     4    1982.292      342.42      340.81
  1982     5    1982.375      342.27      340.75
  1982     6    1982.458      341.39      340.63
  1982     7    1982.542      339.66      340.51
  1982     8    1982.625      338.02      340.30
  1982     9    1982.708      338.08      340.44
  1982    10    1982.792      339.53      340.88
  1982    11    1982.875      340.85      341.19
  1982    12    1982.958      341.68      341.45
  1983     1    1983.042      342.28      341.62
  1983     2    1983.125      342.65      341.61
  1983     3    1983.208      342.94      341.60
  1983     4    1983.292      343.41      341.83
  1983     5    1983.375      343.72      342.20
  1983     6    1983.458      343.41      342.62
  1983     7    1983.542      342.05      342.82
  1983     8    1983.625      340.54      342.75
  1983     9    1983.708      340.48      342.89
  1983    10    1983.792      341.67      343.08
  1983    11    1983.875      342.71      343.06
  1983    12    1983.958      343.37      343.15
  1984     1    1984.042      344.22      343.56
  1984     2    1984.125      344.73      343.73
  1984     3    1984.208      344.85      343.50
  1984     4    1984.292      345.09      343.46
  1984     5    1984.375      345.24      343.70
  1984     6    1984.458      344.46      343.71
  1984     7    1984.542      343.10      343.91
  1984     8    1984.625      342.13      344.40
  1984     9    1984.708      342.03      344.47
