year      msl_ib(mm) #version_2015_rel2
1992.9323    7.793
1992.9595   -4.262
1992.9866   -3.827
1993.0138  -11.327
1993.0409   -6.664
1993.0681  -10.014
1993.0952   -8.381
1993.1223   -6.612
1993.1495  -10.039
1993.1766  -14.738
1993.2038  -21.283
1993.2309  -25.332
1993.2581  -21.873
1993.2852  -12.591
1993.3124  -17.900
1993.3395  -23.200
1993.3667  -19.082
1993.3938  -20.690
1993.4210  -27.806
1993.4481  -15.946
1993.4753  -25.499
1993.5024  -30.167
1993.5296  -28.041
1993.5567   -5.720
1993.5839   -8.767
1993.6110  -14.368
1993.6382   -2.471
1993.6653   -8.098
1993.6925   -4.790
1993.7196    2.522
1993.7468   10.928
1993.7739   15.953
1993.8010    6.713
1993.8282   -8.634
1993.8553   10.623
1993.8825    7.191
1993.9096   11.842
1993.9368   11.383
1993.9639    1.030
1993.9911   -1.673
1994.0182   -5.373
1994.0454  -12.043
1994.0725   -9.535
1994.0997  -11.484
1994.1268  -16.379
1994.1540  -16.040
1994.1811  -15.242
1994.2083   10.090
1994.2354  -14.164
1994.2626  -17.460
1994.2897  -18.704
1994.3169  -23.416
1994.3440  -20.981
1994.3712  -10.366
1994.3983   -7.089
1994.4255  -17.325
1994.4526  -17.969
1994.4798  -19.846
1994.5069  -12.112
1994.5340  -32.244
1994.5612  -30.976
1994.5883  -15.571
1994.6155  -17.876
1994.6426  -16.827
1994.6698  -12.732
1994.6969    6.408
1994.7241    0.943
1994.7512   14.815
1994.7784    3.030
1994.8055    3.194
1994.8327    2.446
1994.8598   13.825
1994.8870   13.879
1994.9141   -0.920
1994.9413   -7.173
1994.9684  -10.104
1994.9956   -6.742
1995.0227   -1.498
1995.0499   -6.345
1995.0770  -18.021
1995.1042  -20.195
1995.1313  -19.939
1995.1585   -1.361
1995.1856    2.252
1995.2128  -10.003
1995.2399  -19.080
1995.2670  -16.905
1995.2942  -11.722
1995.3213  -17.841
1995.3485   -5.664
1995.3756   -1.205
1995.4028   -7.853
1995.4299  -17.853
1995.4571  -17.615
1995.4842  -19.959
1995.5114   -2.330
1995.5385   -5.285
1995.5657  -12.664
1995.5928  -18.530
1995.6200   -2.000
1995.6471    1.548
1995.6743    4.970
1995.7014    1.385
1995.7286   13.320
1995.7557   17.595
1995.7829    8.476
1995.8100   15.751
1995.8372    9.323
1995.8643   11.905
1995.8915   12.033
1995.9458   13.617
1995.9729   12.453
1996.0000    0.218
1996.0272   -1.731
1996.0543  -12.309
1996.0815  -11.995
1996.1086  -14.709
1996.1358   -9.764
1996.1629    1.701
1996.1901   -2.237
1996.2172  -14.014
1996.2444  -21.621
1996.2715  -11.798
1996.2987  -14.187
1996.3258   -5.481
1996.3530   -7.785
1996.3801   -3.134
1996.4073   -1.182
1996.4344  -21.434
1996.4616  -22.283
1996.4887  -19.700
1996.5159   -9.727
1996.5430    0.773
1996.5702    2.305
1996.5973  -17.353
1996.6245   -4.958
1996.6516    4.614
1996.6788   -2.030
1996.7059    5.543
1996.7330    1.755
1996.7602    9.656
1996.7873    8.062
1996.8145   15.127
1996.8416    6.389
1996.8688   15.015
1996.8959    0.720
1996.9231    3.609
1996.9502   11.434
1996.9774    6.081
1997.0045    4.550
1997.0317    7.718
1997.0588    7.708
1997.0860   -1.382
1997.1131  -15.139
1997.1403  -19.311
1997.1674  -13.953
1997.1946   -7.650
1997.2217  -11.110
1997.2489  -26.736
1997.2760  -21.017
1997.3032  -10.278
1997.3303   -9.029
1997.3575   -7.014
1997.3846   -8.263
1997.4118  -11.303
1997.4389  -21.646
1997.4660   -9.969
1997.4932  -13.918
1997.5203  -18.759
1997.5475  -19.358
1997.5746  -12.416
1997.6018  -12.654
1997.6289   -8.694
1997.6561   10.223
1997.6832   11.749
1997.7104    9.427
1997.7375    9.505
1997.7647   13.095
1997.7918   26.984
1997.8190   17.537
1997.8461   21.083
1997.8733   20.299
1997.9004   17.886
1997.9276    7.327
1997.9547    2.278
1997.9819    1.813
1998.0090   -3.935
1998.0362    5.808
1998.0633   -8.595
1998.0905   -5.337
1998.1176   -0.339
1998.1448    0.362
1998.1719   -4.022
1998.1990    5.219
1998.2262   -7.470
1998.2533   -1.285
1998.2805    3.254
1998.3076   -4.434
1998.3348   -6.865
1998.3619    6.351
1998.3891    0.478
1998.4162   -9.137
1998.4434  -17.979
1998.4705   -7.591
1998.4977   -1.408
1998.5248   13.256
1998.5520   13.449
1998.5791   13.596
1998.6063    5.701
1998.6334    9.984
1998.6606   13.098
1998.6877   23.326
1998.7149   30.977
1998.7420   22.126
1998.7692   29.893
1998.7963   16.625
1998.8235   38.162
1998.8506   28.241
1998.8777   26.903
1998.9049   16.948
1998.9320   16.702
1998.9592   25.256
1998.9863   19.800
1999.0135   20.265
1999.0406   13.721
1999.0678   -7.146
1999.0949   17.218
1999.1221   16.471
1999.1492    8.925
1999.1764    8.575
1999.2035   12.832
1999.2307  -12.823
1999.2578  -13.012
1999.2850    8.983
1999.3121    2.334
1999.3393    3.207
1999.3664   -4.688
1999.3936  -15.167
1999.4207   -4.014
1999.4479    0.126
1999.4750   -4.532
1999.5022   -1.689
1999.5293    2.949
1999.5565    6.684
1999.5836   15.139
1999.6107    5.137
1999.6379   11.470
1999.6650    7.505
1999.6922   16.038
1999.7193   20.756
1999.7465   25.222
1999.7736   19.371
1999.8008   21.836
1999.8279   19.851
1999.8551   26.170
1999.8822   26.876
1999.9094   22.637
1999.9365    6.341
1999.9637   18.040
1999.9908    9.424
2000.0180   24.114
2000.0451   31.883
2000.0723   17.516
2000.0994    7.614
2000.1266   12.707
2000.1537    7.647
2000.1809   10.281
2000.2080    0.442
2000.2352   -2.186
2000.2623   -8.284
2000.2895    5.761
2000.3166   11.330
2000.3437    4.739
2000.3709    5.922
2000.3980    3.744
2000.4252   -1.354
2000.4523   -4.715
2000.4795   -6.365
2000.5066   -5.352
2000.5338    2.071
2000.5609    4.382
2000.5881    4.516
2000.6152    0.376
2000.6424    8.735
2000.6695   11.876
2000.6967   25.587
2000.7238   26.089
2000.7510   15.690
2000.7781   11.321
2000.8053   33.472
2000.8324   32.187
2000.8596   32.675
2000.8867   21.907
2000.9139   14.843
2000.9410   13.088
2000.9682   19.437
2000.9953   22.836
2001.0225   15.787
2001.0496    3.403
2001.0767   16.550
2001.1039   16.584
2001.1310   21.239
2001.1582   22.212
2001.1853   13.092
2001.2125    5.929
2001.2396   -3.126
2001.2668   -3.243
2001.2939    3.982
2001.3211    1.890
2001.3482    4.707
2001.3754   -7.870
2001.4025  -11.166
2001.4297  -10.128
2001.4568   -1.447
2001.4840    4.601
2001.5111   10.348
2001.5383    5.901
2001.5654    7.739
2001.5926    9.705
2001.6197    4.677
2001.6469   15.402
2001.6740   25.302
2001.7012   24.660
2001.7283   23.943
2001.7555   25.751
2001.7826   34.887
2001.8097   41.694
2001.8369   48.741
2001.8640   40.995
2001.8912   24.975
2001.9183   17.991
2001.9455   17.635
2001.9726   35.263
2001.9998   34.467
2002.0269   13.334
2002.0541   13.256
2002.0812   33.942
2002.1084   30.026
2002.1355   29.537
2002.1627   31.912
2002.1898   12.315
2002.2170    1.341
2002.2441  -11.551
2002.2713    2.050
2002.2984    1.768
2002.3256   11.779
2002.3527   -1.748
2002.3799    5.531
2002.4070    6.215
2002.4342    8.714
2002.4613   -4.605
2002.4885  -20.772
2002.5156   -7.751
2002.5427    9.124
2002.5699   11.370
2002.5970   20.676
2002.6242   20.422
2002.6513   22.357
2002.6785   29.636
2002.7056   38.669
2002.7328   38.295
2002.7599   28.562
2002.7871   39.176
2002.8142   24.784
2002.8414   26.653
2002.8685   12.102
2002.8957   14.863
2002.9228   22.726
2002.9500   29.829
2002.9771   17.303
2003.0043   11.609
2003.0314   21.785
2003.0586   33.690
2003.0857   18.932
2003.1129   26.228
2003.1400   14.889
2003.1672   11.971
2003.1943   19.662
2003.2214   19.530
2003.2486    9.588
2003.2757   10.633
2003.3029    2.327
2003.3300   26.848
2003.3572   22.477
2003.3843   14.249
2003.4115   19.644
2003.4386   10.399
2003.4658   19.485
2003.4929   23.822
2003.5201   19.072
2003.5472   25.131
2003.5744   23.686
2003.6015   33.854
2003.6287   28.895
2003.6558   18.115
2003.6830   32.509
2003.7101   39.348
2003.7373   49.545
2003.7644   49.838
2003.7916   42.662
2003.8187   51.337
2003.8459   49.926
2003.8730   43.529
2003.9002   32.473
2003.9273   33.884
2003.9544   37.943
2003.9816   27.730
2004.0087   29.928
2004.0359   42.454
2004.0630   35.070
2004.0902   25.529
2004.1173   14.490
2004.1445   18.563
2004.1716    9.914
2004.1988   18.300
2004.2259   29.943
2004.2531    9.725
2004.2802    4.713
2004.3074    6.741
2004.3345   15.688
2004.3617   17.036
2004.3888   -0.961
2004.4160    6.337
2004.4431    3.965
2004.4703   12.400
2004.4974   20.340
2004.5246   16.151
2004.5517   15.515
2004.5789   19.459
2004.6060   29.615
2004.6332   37.599
2004.6603   25.467
2004.6874   41.907
2004.7146   52.241
2004.7417   43.431
2004.7689   59.570
2004.7960   46.648
2004.8232   35.898
2004.8503   54.199
2004.8775   47.837
2004.9046   37.485
2004.9318   37.209
2004.9589   30.584
2004.9861   47.893
2005.0132   39.429
2005.0404   47.827
2005.0675   32.555
2005.0947   19.161
2005.1218   15.810
2005.1490   20.893
2005.1761   31.384
2005.2033   28.859
2005.2304   30.164
2005.2576   26.650
2005.2847   26.618
2005.3119   33.068
2005.3390   33.792
2005.3662   14.489
2005.3933   17.170
2005.4204   18.678
2005.4476   31.254
2005.4747   31.877
2005.5019   30.164
2005.5290   42.897
2005.5562   27.441
2005.5833   20.590
2005.6105   32.858
2005.6376   44.632
2005.6648   30.922
2005.6919   27.393
2005.7191   30.674
2005.7462   51.096
2005.7734   37.694
2005.8005   27.649
2005.8277   36.334
2005.8548   53.740
2005.8820   37.494
2005.9091   48.027
2005.9363   50.741
2005.9634   41.989
2005.9906   34.611
2006.0177   19.166
2006.0449   23.473
2006.0720   28.852
2006.0992   22.974
2006.1263   25.977
2006.1534   28.674
2006.1806   14.357
2006.2077   14.211
2006.2349   13.913
2006.2620   24.738
2006.2892   12.229
2006.3163   18.036
2006.3435   15.323
2006.3706   23.930
2006.3978   25.585
2006.4249   18.742
2006.4521   17.533
2006.4792   21.284
2006.5064   23.365
2006.5335   23.069
2006.5607   33.130
2006.5878   30.609
2006.6150   21.472
2006.6421   39.016
2006.6693   48.297
2006.6964   44.917
2006.7236   44.571
2006.7507   49.297
2006.7779   58.392
2006.8050   54.781
2006.8321   55.172
2006.8864   34.951
2006.9136   37.758
2006.9407   45.688
2006.9679   42.117
2006.9950   27.097
2007.0222   22.229
2007.0493   24.525
2007.0765   21.925
2007.1036   24.092
2007.1308   20.394
