year month day AAPL GOOGL MSFT PG XOM
2005  01  03 4.32 101.46 21.88 - 40.44
2005  01  04 4.37 97.35 21.96 41.79 40.16
2005  01  05 4.4 96.85 21.91 42.23 39.95
2005  01  06 4.41 94.37 21.89 42.43 40.46
2005  01  07 4.73 97.02 21.82 42.88 40.2
2005  01  10 4.71 97.63 21.93 43.22 40.35
2005  01  11 4.41 96.87 21.87 43.17 40.25
2005  01  12 4.47 97.79 21.91 43.33 40.84
2005  01  13 4.77 97.76 21.5 42.58 40.81
2005  01  14 4.79 100.09 21.37 42.85 41.23
2005  01  18 4.82 102.05 21.54 42.93 41.58
2005  01  19 4.77 98.75 21.26 43.66 41.21
2005  01  20 4.81 97.06 21.16 43.67 40.95
2005  01  21 4.81 94.23 20.99 42.86 40.72
2005  01  24 4.83 90.45 21.01 42.52 41.28
2005  01  25 4.92 88.65 21.29 42.92 41.44
2005  01  26 4.93 94.71 21.28 42.7 41.74
2005  01  27 4.96 94.13 21.37 42.61 41.78
2005  01  28 5.05 95.27 21.42 41.71 41.39
2005  01  31 5.25 97.91 21.51 41.0 41.66
2005  02  01 5.29 96.05 21.6 40.72 43.01
2005  02  02 5.44 103.08 21.65 41.13 43.54
2005  02  03  -  105.54 21.42 41.01 44.02
2005  02  04 5.38 102.28 21.54 40.53 44.64
2005  02  07 5.39 98.11 21.41 40.46 44.73
2005  02  08 5.52 99.42 21.47 40.04 45.25
2005  02  09 5.38 95.89 21.33 39.67 45.06
2005  02  10 5.35 94.08 21.33 39.76 45.71
2005  02  11 5.54 93.79 21.25 40.17 45.52
2005  02  14 5.78 96.59 21.28 40.59 46.11
2005  02  15 6.04 97.71 21.28 41.19 46.18
2005  02  16 6.15 99.3 21.17 41.06 47.44
2005  02  17 6.0 99.05 21.05 41.08 47.16
2005  02  18 5.93 99.07 20.92 41.21 48.2
2005  02  22 5.82 95.78 20.71 40.24 47.26
2005  02  23 6.02 97.07 20.69 41.2 48.21
2005  02  24 6.07 94.54 20.82 41.46 49.59
2005  02  25 6.08 93.03 20.73 41.74 51.32
2005  02  28 6.13 94.09 20.65 40.89 51.36
2005  03  01 6.08 93.12 20.75 41.21 50.38
2005  03  02 6.02 92.68 20.73 41.28   -
2005  03  03 5.71 93.6 20.66 41.19 51.15
2005  03  04 5.85 93.04 20.66 41.48 51.57
2005  03  07 5.84 94.5 20.91 41.36 51.11
2005  03  08 5.53 92.69 20.85 41.09 51.19
2005  03  09 5.37 90.77 20.78 40.82 49.32
2005  03  10 5.44 90.08 20.87 41.03 48.98
2005  03  11 5.5 88.99 20.6 40.44 49.53
2005  03  14 5.51 87.58 20.61 41.01 49.72
2005  03  15 5.59 89.39 20.45 40.76 48.96
2005  03  16 5.62 87.89 20.22 40.68 48.91
2005  03  17 5.77 89.73 20.14 40.63 49.89
2005  03  18 5.87 90.11 19.95 41.13 50.83
2005  03  21 5.97 90.53 19.86 40.62 50.42
2005  03  22 5.85 89.39 19.69 40.09 49.41
2005  03  23 5.81 89.58 19.85 40.69 48.75
2005  03  24 5.8 89.71 19.93 40.51 47.87
2005  03  28 5.81 90.8 19.86 40.44 47.78
2005  03  29 5.7 89.87 19.63 39.94 47.27
2005  03  30 5.84 90.32 19.83 41.1 48.06
